group	t1	t2	winner	date
C	DK	C9	1	05-06
C	INF	DFM	1	05-06
A	RNG	PGG	1	05-06
A	PGG	UOL	2	05-06
B	IW	PNG	2	05-06	
B	MAD	PSG	1	05-06
A	PGG	RNG	2	05-07
A	UOL	RNG	2	05-07
C	INF	DK	2	05-07
C	DFM	C9	1	05-07
B	IW	MAD	2	05-07
B	PNG	PSG	2	05-07
A	RNG	UOL	1	05-08
A	UOL	PGG	2	05-08
C	DK	DFM	1	05-08
C	C9	INF	1	05-08
B	MAD	PNG	1	05-08
B	PSG	IW	1	05-08
A	UOL	RNG	TBD	05-09
A	UOL	PGG	TBD	05-09
A	RNG	PGG	TBD	05-09
A	RNG	UOL	TBD	05-09
A	PGG	UOL	TBD	05-09
A	PGG	RNG	TBD	05-09
B	MAD	IW	TBD	05-10
B	PSG	PNG	TBD	05-10
B	IW	PSG	TBD	05-10
B	PNG	MAD	TBD	05-10
B	PNG	IW	TBD	05-10
B	PSG	MAD	TBD	05-10
C	C9	DK	TBD	05-11
C	DFM	INF	TBD	05-11
C	DK	INF	TBD	05-11
C	C9	DFM	TBD	05-11
C	DFM	DK	TBD	05-11
C	INF	C9	TBD	05-11